,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,total acidity,sulphates_squared,citric_acid_ratio,sugar_acid_diff,Quality
213,8.2,0.57,0.26,2.2,0.06,28.0,65.0,0.9959,3.3,0.43,10.1,8.77,0.18489999999999998,0.03170731707317073,-5.999999999999999,5
214,7.8,0.735,0.08,2.4,0.092,10.0,41.0,0.9974,3.24,0.71,9.8,8.535,0.5041,0.010256410256410256,-5.4,6
215,7.0,0.49,0.49,5.6,0.06,26.0,121.0,0.9974,3.34,0.76,10.5,7.49,0.5776,0.06999999999999999,-1.4000000000000004,5
216,8.7,0.625,0.16,2.0,0.1009999999999999,13.0,49.0,0.9962,3.14,0.57,11.0,9.325,0.32489999999999997,0.018390804597701153,-6.699999999999999,5
217,8.1,0.725,0.22,2.2,0.072,11.0,41.0,0.9967,3.36,0.55,9.1,8.825,0.30250000000000005,0.027160493827160494,-5.8999999999999995,5
218,7.5,0.49,0.19,1.9,0.076,10.0,44.0,0.9957,3.39,0.54,9.7,7.99,0.2916,0.025333333333333333,-5.6,5
219,7.8,0.53,0.33,2.4,0.08,24.0,144.0,0.99655,3.3,0.6,9.5,8.33,0.36,0.04230769230769231,-5.4,5
220,7.8,0.34,0.37,2.0,0.0819999999999999,24.0,58.0,0.9964,3.34,0.59,9.4,8.14,0.34809999999999997,0.047435897435897434,-5.8,6
221,7.4,0.53,0.26,2.0,0.1009999999999999,16.0,72.0,0.9957,3.15,0.57,9.4,7.930000000000001,0.32489999999999997,0.03513513513513514,-5.4,5
222,6.8,0.61,0.04,1.5,0.057,5.0,10.0,0.99525,3.42,0.6,9.5,7.41,0.36,0.0058823529411764705,-5.3,5
223,8.6,0.645,0.25,2.0,0.083,8.0,28.0,0.99815,3.28,0.6,10.0,9.245,0.36,0.029069767441860465,-6.6,6
224,8.4,0.635,0.36,2.0,0.089,15.0,55.0,0.99745,3.31,0.57,10.4,9.035,0.32489999999999997,0.04285714285714285,-6.4,4
225,7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,10.5,8.13,0.3364,0.032467532467532464,-5.1,6
227,9.0,0.82,0.14,2.6,0.089,9.0,23.0,0.9984,3.39,0.63,9.8,9.82,0.39690000000000003,0.015555555555555557,-6.4,5
228,7.7,0.43,0.25,2.6,0.073,29.0,63.0,0.99615,3.37,0.58,10.5,8.13,0.3364,0.032467532467532464,-5.1,6
229,6.9,0.52,0.25,2.6,0.081,10.0,37.0,0.99685,3.46,0.5,11.0,7.42,0.25,0.036231884057971016,-4.300000000000001,5
230,5.2,0.48,0.04,1.6,0.054,19.0,106.0,0.9927,3.54,0.62,12.2,5.68,0.3844,0.007692307692307692,-3.6,7
231,8.0,0.38,0.06,1.8,0.078,12.0,49.0,0.99625,3.37,0.52,9.9,8.38,0.27040000000000003,0.0075,-6.2,6
232,8.5,0.37,0.2,2.8,0.09,18.0,58.0,0.998,3.34,0.7,9.6,8.87,0.48999999999999994,0.023529411764705882,-5.7,6
233,6.9,0.52,0.25,2.6,0.081,10.0,37.0,0.99685,3.46,0.5,11.0,7.42,0.25,0.036231884057971016,-4.300000000000001,5
234,8.2,1.0,0.09,2.3,0.065,7.0,37.0,0.99685,3.32,0.55,9.0,9.2,0.30250000000000005,0.010975609756097562,-5.8999999999999995,6
235,7.2,0.63,0.0,1.9,0.0969999999999999,14.0,38.0,0.99675,3.37,0.58,9.0,7.83,0.3364,0.0,-5.300000000000001,6
236,7.2,0.63,0.0,1.9,0.0969999999999999,14.0,38.0,0.99675,3.37,0.58,9.0,7.83,0.3364,0.0,-5.300000000000001,6
237,7.2,0.645,0.0,1.9,0.0969999999999999,15.0,39.0,0.99675,3.37,0.58,9.2,7.845000000000001,0.3364,0.0,-5.300000000000001,6
238,7.2,0.63,0.0,1.9,0.0969999999999999,14.0,38.0,0.99675,3.37,0.58,9.0,7.83,0.3364,0.0,-5.300000000000001,6
239,8.2,1.0,0.09,2.3,0.065,7.0,37.0,0.99685,3.32,0.55,9.0,9.2,0.30250000000000005,0.010975609756097562,-5.8999999999999995,6
241,12.0,0.38,0.56,2.1,0.093,6.0,24.0,0.99925,3.14,0.71,10.9,12.38,0.5041,0.04666666666666667,-9.9,6
242,7.7,0.58,0.1,1.8,0.102,28.0,109.0,0.99565,3.08,0.49,9.8,8.28,0.24009999999999998,0.012987012987012988,-5.9,6
245,7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,7.96,0.9216,0.0,-5.3,6
246,7.1,0.68,0.07,1.9,0.075,16.0,51.0,0.99685,3.38,0.52,9.5,7.779999999999999,0.27040000000000003,0.009859154929577466,-5.199999999999999,5
247,8.2,0.6,0.17,2.3,0.072,11.0,73.0,0.9963,3.2,0.45,9.3,8.799999999999999,0.2025,0.020731707317073175,-5.8999999999999995,5
248,7.7,0.53,0.06,1.7,0.074,9.0,39.0,0.99615,3.35,0.48,9.8,8.23,0.2304,0.007792207792207791,-6.0,6
249,7.3,0.66,0.0,2.0,0.084,6.0,23.0,0.9983,3.61,0.96,9.9,7.96,0.9216,0.0,-5.3,6
250,10.8,0.32,0.44,1.6,0.063,16.0,37.0,0.9985,3.22,0.78,10.0,11.120000000000001,0.6084,0.04074074074074074,-9.200000000000001,6
251,7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,9.9,7.699999999999999,0.48999999999999994,0.0,-5.3,6
252,11.1,0.35,0.48,3.1,0.09,5.0,21.0,0.9986,3.17,0.53,10.5,11.45,0.28090000000000004,0.043243243243243246,-8.0,5
253,7.7,0.775,0.42,1.9,0.092,8.0,86.0,0.9959,3.23,0.59,9.5,8.475,0.34809999999999997,0.05454545454545454,-5.800000000000001,5
254,7.1,0.6,0.0,1.8,0.074,16.0,34.0,0.9972,3.47,0.7,9.9,7.699999999999999,0.48999999999999994,0.0,-5.3,6
255,8.0,0.57,0.23,3.2,0.073,17.0,119.0,0.99675,3.26,0.57,9.3,8.57,0.32489999999999997,0.02875,-4.8,5
256,9.4,0.34,0.37,2.2,0.075,5.0,13.0,0.998,3.22,0.62,9.2,9.74,0.3844,0.039361702127659576,-7.2,5
257,6.6,0.695,0.0,2.1,0.075,12.0,56.0,0.9968,3.49,0.67,9.2,7.295,0.4489000000000001,0.0,-4.5,5
259,10.0,0.31,0.47,2.6,0.085,14.0,33.0,0.99965,3.36,0.8,10.5,10.31,0.6400000000000001,0.047,-7.4,7
260,7.9,0.33,0.23,1.7,0.077,18.0,45.0,0.99625,3.29,0.65,9.3,8.23,0.42250000000000004,0.02911392405063291,-6.2,5
261,7.0,0.975,0.04,2.0,0.087,12.0,67.0,0.99565,3.35,0.6,9.4,7.975,0.36,0.005714285714285714,-5.0,4
262,8.0,0.52,0.03,1.7,0.07,10.0,35.0,0.99575,3.34,0.57,10.0,8.52,0.32489999999999997,0.00375,-6.3,5
263,7.9,0.37,0.23,1.8,0.077,23.0,49.0,0.9963,3.28,0.67,9.3,8.27,0.4489000000000001,0.02911392405063291,-6.1000000000000005,5
264,12.5,0.56,0.49,2.4,0.064,5.0,27.0,0.9999,3.08,0.87,10.9,13.06,0.7569,0.0392,-10.1,5
265,11.8,0.26,0.52,1.8,0.071,6.0,10.0,0.9968,3.2,0.72,10.2,12.06,0.5184,0.04406779661016949,-10.0,7
266,8.1,0.87,0.0,3.3,0.096,26.0,61.0,1.00025,3.6,0.72,9.8,8.969999999999999,0.5184,0.0,-4.8,4
267,7.9,0.35,0.46,3.6,0.078,15.0,37.0,0.9973,3.35,0.86,12.8,8.25,0.7395999999999999,0.05822784810126582,-4.300000000000001,8
268,6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,7.44,0.8281000000000001,0.005797101449275362,-3.9000000000000004,6
269,11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,11.68,0.9409,0.044347826086956525,-7.5,6
270,7.9,0.545,0.06,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,10.7,8.445,0.4489000000000001,0.007594936708860759,-3.9000000000000004,6
271,11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,11.68,0.9409,0.044347826086956525,-7.5,6
272,10.9,0.37,0.58,4.0,0.071,17.0,65.0,0.99935,3.22,0.78,10.1,11.27,0.6084,0.05321100917431192,-6.9,5
273,8.4,0.715,0.2,2.4,0.076,10.0,38.0,0.99735,3.31,0.64,9.4,9.115,0.4096,0.023809523809523808,-6.0,5
275,7.9,0.545,0.06,4.0,0.087,27.0,61.0,0.9965,3.36,0.67,10.7,8.445,0.4489000000000001,0.007594936708860759,-3.9000000000000004,6
276,6.9,0.54,0.04,3.0,0.077,7.0,27.0,0.9987,3.69,0.91,9.4,7.44,0.8281000000000001,0.005797101449275362,-3.9000000000000004,6
277,11.5,0.18,0.51,4.0,0.104,4.0,23.0,0.9996,3.28,0.97,10.1,11.68,0.9409,0.044347826086956525,-7.5,6
278,10.3,0.32,0.45,6.4,0.073,5.0,13.0,0.9976,3.23,0.82,12.6,10.620000000000001,0.6723999999999999,0.043689320388349516,-3.9000000000000004,8
279,8.9,0.4,0.32,5.6,0.087,10.0,47.0,0.9991,3.38,0.77,10.5,9.3,0.5929,0.03595505617977528,-3.3000000000000007,7
280,11.4,0.26,0.44,3.6,0.071,6.0,19.0,0.9986,3.12,0.82,9.3,11.66,0.6723999999999999,0.03859649122807018,-7.800000000000001,6
282,7.6,0.52,0.12,3.0,0.067,12.0,53.0,0.9971,3.36,0.57,9.1,8.12,0.32489999999999997,0.015789473684210527,-4.6,5
283,8.9,0.4,0.32,5.6,0.087,10.0,47.0,0.9991,3.38,0.77,10.5,9.3,0.5929,0.03595505617977528,-3.3000000000000007,7
284,9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,10.49,0.5041,0.007070707070707071,-6.5,5
285,9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,10.49,0.5041,0.007070707070707071,-6.5,5
286,12.0,0.45,0.55,2.0,0.073,25.0,49.0,0.9997,3.1,0.76,10.3,12.45,0.5776,0.04583333333333334,-10.0,6
287,7.5,0.4,0.12,3.0,0.092,29.0,53.0,0.9967,3.37,0.7,10.3,7.9,0.48999999999999994,0.016,-4.5,6
288,8.7,0.52,0.09,2.5,0.091,20.0,49.0,0.9976,3.34,0.86,10.6,9.219999999999999,0.7395999999999999,0.010344827586206896,-6.199999999999999,7
289,11.6,0.42,0.53,3.3,0.105,33.0,98.0,1.001,3.2,0.95,9.2,12.02,0.9025,0.045689655172413794,-8.3,5
290,8.7,0.52,0.09,2.5,0.091,20.0,49.0,0.9976,3.34,0.86,10.6,9.219999999999999,0.7395999999999999,0.010344827586206896,-6.199999999999999,7
292,10.4,0.55,0.23,2.7,0.091,18.0,48.0,0.9994,3.22,0.64,10.3,10.950000000000001,0.4096,0.022115384615384617,-7.7,6
293,6.9,0.36,0.25,2.4,0.098,5.0,16.0,0.9964,3.41,0.6,10.1,7.260000000000001,0.36,0.036231884057971016,-4.5,6
294,13.3,0.34,0.52,3.2,0.094,17.0,53.0,1.0014,3.05,0.81,9.5,13.64,0.6561000000000001,0.039097744360902256,-10.100000000000001,6
295,10.8,0.5,0.46,2.5,0.073,5.0,27.0,1.0001,3.05,0.64,9.5,11.3,0.4096,0.04259259259259259,-8.3,5
296,10.6,0.83,0.37,2.6,0.086,26.0,70.0,0.9981,3.16,0.52,9.9,11.43,0.27040000000000003,0.03490566037735849,-8.0,5
297,7.1,0.63,0.06,2.0,0.083,8.0,29.0,0.99855,3.67,0.73,9.6,7.7299999999999995,0.5328999999999999,0.008450704225352114,-5.1,5
298,7.2,0.65,0.02,2.3,0.094,5.0,31.0,0.9993,3.67,0.8,9.7,7.8500000000000005,0.6400000000000001,0.002777777777777778,-4.9,5
299,6.9,0.67,0.06,2.1,0.08,8.0,33.0,0.99845,3.68,0.71,9.6,7.57,0.5041,0.008695652173913042,-4.800000000000001,5
300,7.5,0.53,0.06,2.6,0.086,20.0,44.0,0.9965,3.38,0.59,10.7,8.03,0.34809999999999997,0.008,-4.9,6
301,11.1,0.18,0.48,1.5,0.068,7.0,15.0,0.9973,3.22,0.64,10.1,11.28,0.4096,0.043243243243243246,-9.6,6
302,8.3,0.705,0.12,2.6,0.092,12.0,28.0,0.9994,3.51,0.72,10.0,9.005,0.5184,0.014457831325301203,-5.700000000000001,5
303,7.4,0.67,0.12,1.6,0.186,5.0,21.0,0.996,3.39,0.54,9.5,8.07,0.2916,0.016216216216216214,-5.800000000000001,5
304,8.4,0.65,0.6,2.1,0.1119999999999999,12.0,90.0,0.9973,3.2,0.52,9.2,9.05,0.27040000000000003,0.07142857142857142,-6.300000000000001,5
305,10.3,0.53,0.48,2.5,0.063,6.0,25.0,0.9998,3.12,0.59,9.3,10.83,0.34809999999999997,0.04660194174757281,-7.800000000000001,6
306,7.6,0.62,0.32,2.2,0.0819999999999999,7.0,54.0,0.9966,3.36,0.52,9.4,8.219999999999999,0.27040000000000003,0.04210526315789474,-5.3999999999999995,5
307,10.3,0.41,0.42,2.4,0.213,6.0,14.0,0.9994,3.19,0.62,9.5,10.71,0.3844,0.04077669902912621,-7.9,6
308,10.3,0.43,0.44,2.4,0.214,5.0,12.0,0.9994,3.19,0.63,9.5,10.73,0.39690000000000003,0.04271844660194175,-7.9,6
309,7.4,0.29,0.38,1.7,0.062,9.0,30.0,0.9968,3.41,0.53,9.5,7.69,0.28090000000000004,0.05135135135135135,-5.7,6
310,10.3,0.53,0.48,2.5,0.063,6.0,25.0,0.9998,3.12,0.59,9.3,10.83,0.34809999999999997,0.04660194174757281,-7.800000000000001,6
311,7.9,0.53,0.24,2.0,0.072,15.0,105.0,0.996,3.27,0.54,9.4,8.43,0.2916,0.030379746835443037,-5.9,6
312,9.0,0.46,0.31,2.8,0.093,19.0,98.0,0.99815,3.32,0.63,9.5,9.46,0.39690000000000003,0.034444444444444444,-6.2,6
313,8.6,0.47,0.3,3.0,0.076,30.0,135.0,0.9976,3.3,0.53,9.4,9.07,0.28090000000000004,0.03488372093023256,-5.6,5
314,7.4,0.36,0.29,2.6,0.087,26.0,72.0,0.99645,3.39,0.68,11.0,7.760000000000001,0.4624000000000001,0.039189189189189184,-4.800000000000001,5
315,7.1,0.35,0.29,2.5,0.096,20.0,53.0,0.9962,3.42,0.65,11.0,7.449999999999999,0.42250000000000004,0.04084507042253521,-4.6,6
316,9.6,0.56,0.23,3.4,0.102,37.0,92.0,0.9996,3.3,0.65,10.1,10.16,0.42250000000000004,0.023958333333333335,-6.199999999999999,5
317,9.6,0.77,0.12,2.9,0.0819999999999999,30.0,74.0,0.99865,3.3,0.64,10.4,10.37,0.4096,0.0125,-6.699999999999999,6
318,9.8,0.66,0.39,3.2,0.083,21.0,59.0,0.9989,3.37,0.71,11.5,10.46,0.5041,0.03979591836734694,-6.6000000000000005,7
319,9.6,0.77,0.12,2.9,0.0819999999999999,30.0,74.0,0.99865,3.3,0.64,10.4,10.37,0.4096,0.0125,-6.699999999999999,6
320,9.8,0.66,0.39,3.2,0.083,21.0,59.0,0.9989,3.37,0.71,11.5,10.46,0.5041,0.03979591836734694,-6.6000000000000005,7
321,9.3,0.61,0.26,3.4,0.09,25.0,87.0,0.99975,3.24,0.62,9.7,9.91,0.3844,0.027956989247311825,-5.9,5
322,7.8,0.62,0.05,2.3,0.079,6.0,18.0,0.99735,3.29,0.63,9.3,8.42,0.39690000000000003,0.006410256410256411,-5.5,5
323,10.3,0.59,0.42,2.8,0.09,35.0,73.0,0.999,3.28,0.7,9.5,10.89,0.48999999999999994,0.04077669902912621,-7.500000000000001,6
326,11.6,0.53,0.66,3.65,0.121,6.0,14.0,0.9978,3.05,0.74,11.5,12.129999999999999,0.5476,0.056896551724137934,-7.949999999999999,7
327,10.3,0.44,0.5,4.5,0.107,5.0,13.0,0.998,3.28,0.83,11.5,10.74,0.6889,0.04854368932038835,-5.800000000000001,5
328,13.4,0.27,0.62,2.6,0.0819999999999999,6.0,21.0,1.0002,3.16,0.67,9.7,13.67,0.4489000000000001,0.04626865671641791,-10.8,6
329,10.7,0.46,0.39,2.0,0.061,7.0,15.0,0.9981,3.18,0.62,9.5,11.16,0.3844,0.03644859813084113,-8.7,5
330,10.2,0.36,0.64,2.9,0.122,10.0,41.0,0.998,3.23,0.66,12.5,10.559999999999999,0.43560000000000004,0.06274509803921569,-7.299999999999999,6
331,10.2,0.36,0.64,2.9,0.122,10.0,41.0,0.998,3.23,0.66,12.5,10.559999999999999,0.43560000000000004,0.06274509803921569,-7.299999999999999,6
332,8.0,0.58,0.28,3.2,0.066,21.0,114.0,0.9973,3.22,0.54,9.4,8.58,0.2916,0.035,-4.8,6
333,8.4,0.56,0.08,2.1,0.105,16.0,44.0,0.9958,3.13,0.52,11.0,8.96,0.27040000000000003,0.009523809523809523,-6.300000000000001,5
334,7.9,0.65,0.01,2.5,0.078,17.0,38.0,0.9963,3.34,0.74,11.7,8.55,0.5476,0.0012658227848101266,-5.4,7
335,11.9,0.695,0.53,3.4,0.128,7.0,21.0,0.9992,3.17,0.84,12.2,12.595,0.7055999999999999,0.04453781512605042,-8.5,7
336,8.9,0.43,0.45,1.9,0.052,6.0,16.0,0.9948,3.35,0.7,12.5,9.33,0.48999999999999994,0.05056179775280899,-7.0,6
337,7.8,0.43,0.32,2.8,0.08,29.0,58.0,0.9974,3.31,0.64,10.3,8.23,0.4096,0.041025641025641026,-5.0,5
338,12.4,0.49,0.58,3.0,0.103,28.0,99.0,1.0008,3.16,1.0,11.5,12.89,1.0,0.04677419354838709,-9.4,6
341,10.6,0.42,0.48,2.7,0.065,5.0,18.0,0.9972,3.21,0.87,11.3,11.02,0.7569,0.045283018867924525,-7.8999999999999995,6
342,10.9,0.39,0.47,1.8,0.118,6.0,14.0,0.9982,3.3,0.75,9.8,11.290000000000001,0.5625,0.04311926605504587,-9.1,6
343,10.9,0.39,0.47,1.8,0.118,6.0,14.0,0.9982,3.3,0.75,9.8,11.290000000000001,0.5625,0.04311926605504587,-9.1,6
344,11.9,0.57,0.5,2.6,0.0819999999999999,6.0,32.0,1.0006,3.12,0.78,10.7,12.47,0.6084,0.04201680672268907,-9.3,6
345,7.0,0.685,0.0,1.9,0.067,40.0,63.0,0.9979,3.6,0.81,9.9,7.6850000000000005,0.6561000000000001,0.0,-5.1,5
346,6.6,0.815,0.02,2.7,0.072,17.0,34.0,0.9955,3.58,0.89,12.3,7.414999999999999,0.7921,0.0030303030303030307,-3.8999999999999995,7
348,9.6,0.56,0.31,2.8,0.089,15.0,46.0,0.9979,3.11,0.92,10.0,10.16,0.8464,0.03229166666666667,-6.8,6
349,9.1,0.785,0.0,2.6,0.093,11.0,28.0,0.9994,3.36,0.86,9.4,9.885,0.7395999999999999,0.0,-6.5,6
350,10.7,0.67,0.22,2.7,0.107,17.0,34.0,1.0004,3.28,0.98,9.9,11.37,0.9603999999999999,0.020560747663551402,-7.999999999999999,6
351,9.1,0.795,0.0,2.6,0.096,11.0,26.0,0.9994,3.35,0.83,9.4,9.895,0.6889,0.0,-6.5,6
352,7.7,0.665,0.0,2.4,0.09,8.0,19.0,0.9974,3.27,0.73,9.3,8.365,0.5328999999999999,0.0,-5.300000000000001,5
353,13.5,0.53,0.79,4.8,0.12,23.0,77.0,1.0018,3.18,0.77,13.0,14.03,0.5929,0.05851851851851852,-8.7,5
355,6.7,0.75,0.01,2.4,0.078,17.0,32.0,0.9955,3.55,0.61,12.8,7.45,0.3721,0.0014925373134328358,-4.300000000000001,6
356,11.5,0.41,0.52,3.0,0.08,29.0,55.0,1.0001,3.26,0.88,11.0,11.91,0.7744,0.04521739130434783,-8.5,5
357,10.5,0.42,0.66,2.95,0.1159999999999999,12.0,29.0,0.997,3.24,0.75,11.7,10.92,0.5625,0.06285714285714286,-7.55,7
358,11.9,0.43,0.66,3.1,0.109,10.0,23.0,1.0,3.15,0.85,10.4,12.33,0.7224999999999999,0.055462184873949584,-8.8,7
359,12.6,0.38,0.66,2.6,0.088,10.0,41.0,1.001,3.17,0.68,9.8,12.98,0.4624000000000001,0.05238095238095238,-10.0,6
360,8.2,0.7,0.23,2.0,0.099,14.0,81.0,0.9973,3.19,0.7,9.4,8.899999999999999,0.48999999999999994,0.028048780487804882,-6.199999999999999,5
361,8.6,0.45,0.31,2.6,0.086,21.0,50.0,0.9982,3.37,0.91,9.9,9.049999999999999,0.8281000000000001,0.03604651162790698,-6.0,6
362,11.9,0.58,0.66,2.5,0.072,6.0,37.0,0.9992,3.05,0.56,10.0,12.48,0.31360000000000005,0.055462184873949584,-9.4,5
363,12.5,0.46,0.63,2.0,0.071,6.0,15.0,0.9988,2.99,0.87,10.2,12.96,0.7569,0.0504,-10.5,5
364,12.8,0.615,0.66,5.8,0.083,7.0,42.0,1.0022,3.07,0.73,10.0,13.415000000000001,0.5328999999999999,0.0515625,-7.000000000000001,7
365,10.0,0.42,0.5,3.4,0.107,7.0,21.0,0.9979,3.26,0.93,11.8,10.42,0.8649000000000001,0.05,-6.6,6
366,12.8,0.615,0.66,5.8,0.083,7.0,42.0,1.0022,3.07,0.73,10.0,13.415000000000001,0.5328999999999999,0.0515625,-7.000000000000001,7
367,10.4,0.575,0.61,2.6,0.076,11.0,24.0,1.0,3.16,0.69,9.0,10.975,0.4760999999999999,0.058653846153846154,-7.800000000000001,5
368,10.3,0.34,0.52,2.8,0.159,15.0,75.0,0.9998,3.18,0.64,9.4,10.64,0.4096,0.05048543689320388,-7.500000000000001,5
369,9.4,0.27,0.53,2.4,0.074,6.0,18.0,0.9962,3.2,1.13,12.0,9.67,1.2768999999999997,0.05638297872340425,-7.0,7
370,6.9,0.765,0.02,2.3,0.063,35.0,63.0,0.9975,3.57,0.78,9.9,7.665,0.6084,0.002898550724637681,-4.6000000000000005,5
371,7.9,0.24,0.4,1.6,0.0559999999999999,11.0,25.0,0.9967,3.32,0.87,8.7,8.14,0.7569,0.05063291139240506,-6.300000000000001,6
372,9.1,0.28,0.48,1.8,0.067,26.0,46.0,0.9967,3.32,1.04,10.6,9.379999999999999,1.0816000000000001,0.05274725274725275,-7.3,6
373,7.4,0.55,0.22,2.2,0.106,12.0,72.0,0.9959,3.05,0.63,9.2,7.95,0.39690000000000003,0.029729729729729728,-5.2,5
375,11.5,0.54,0.71,4.4,0.124,6.0,15.0,0.9984,3.01,0.83,11.8,12.04,0.6889,0.06173913043478261,-7.1,7
376,11.5,0.45,0.5,3.0,0.078,19.0,47.0,1.0003,3.26,1.11,11.0,11.95,1.2321000000000002,0.043478260869565216,-8.5,6
377,9.4,0.27,0.53,2.4,0.074,6.0,18.0,0.9962,3.2,1.13,12.0,9.67,1.2768999999999997,0.05638297872340425,-7.0,7
378,11.4,0.625,0.66,6.2,0.088,6.0,24.0,0.9988,3.11,0.99,13.3,12.025,0.9801,0.05789473684210526,-5.2,6
379,8.3,0.42,0.38,2.5,0.094,24.0,60.0,0.9979,3.31,0.7,10.8,8.72,0.48999999999999994,0.04578313253012048,-5.800000000000001,6
380,8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,3.21,0.8,9.4,8.56,0.6400000000000001,0.05060240963855421,-6.300000000000001,6
382,8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,3.21,0.8,9.4,8.56,0.6400000000000001,0.05060240963855421,-6.300000000000001,6
383,8.3,0.26,0.42,2.0,0.08,11.0,27.0,0.9974,3.21,0.8,9.4,8.56,0.6400000000000001,0.05060240963855421,-6.300000000000001,6
384,7.7,0.51,0.28,2.1,0.087,23.0,54.0,0.998,3.42,0.74,9.2,8.21,0.5476,0.03636363636363637,-5.6,5
385,7.4,0.63,0.07,2.4,0.09,11.0,37.0,0.9979,3.43,0.76,9.7,8.030000000000001,0.5776,0.00945945945945946,-5.0,6
386,7.8,0.54,0.26,2.0,0.088,23.0,48.0,0.9981,3.41,0.74,9.2,8.34,0.5476,0.03333333333333333,-5.8,6
387,8.3,0.66,0.15,1.9,0.079,17.0,42.0,0.9972,3.31,0.54,9.6,8.96,0.2916,0.018072289156626505,-6.4,6
388,7.8,0.46,0.26,1.9,0.088,23.0,53.0,0.9981,3.43,0.74,9.2,8.26,0.5476,0.03333333333333333,-5.9,6
389,9.6,0.38,0.31,2.5,0.096,16.0,49.0,0.9982,3.19,0.7,10.0,9.98,0.48999999999999994,0.03229166666666667,-7.1,7
390,5.6,0.85,0.05,1.4,0.045,12.0,88.0,0.9924,3.56,0.82,12.9,6.449999999999999,0.6723999999999999,0.00892857142857143,-4.199999999999999,8
392,9.5,0.37,0.52,2.0,0.0819999999999999,6.0,26.0,0.998,3.18,0.51,9.5,9.87,0.2601,0.05473684210526316,-7.5,5
393,8.4,0.665,0.61,2.0,0.1119999999999999,13.0,95.0,0.997,3.16,0.54,9.1,9.065000000000001,0.2916,0.07261904761904761,-6.4,5
394,12.7,0.6,0.65,2.3,0.063,6.0,25.0,0.9997,3.03,0.57,9.9,13.299999999999999,0.32489999999999997,0.05118110236220473,-10.399999999999999,5
395,12.0,0.37,0.76,4.2,0.066,7.0,38.0,1.0004,3.22,0.6,13.0,12.37,0.36,0.06333333333333334,-7.8,7
397,11.5,0.59,0.59,2.6,0.087,13.0,49.0,0.9988,3.18,0.65,11.0,12.09,0.42250000000000004,0.051304347826086956,-8.9,6
398,11.5,0.59,0.59,2.6,0.087,13.0,49.0,0.9988,3.18,0.65,11.0,12.09,0.42250000000000004,0.051304347826086956,-8.9,6
399,8.7,0.765,0.22,2.3,0.064,9.0,42.0,0.9963,3.1,0.55,9.4,9.465,0.30250000000000005,0.025287356321839084,-6.3999999999999995,5
401,7.7,0.26,0.3,1.7,0.059,20.0,38.0,0.9949,3.29,0.47,10.8,7.96,0.22089999999999999,0.03896103896103896,-6.0,6
402,12.2,0.48,0.54,2.6,0.085,19.0,64.0,1.0,3.1,0.61,10.5,12.68,0.3721,0.04426229508196722,-9.6,6
403,11.4,0.6,0.49,2.7,0.085,10.0,41.0,0.9994,3.15,0.63,10.5,12.0,0.39690000000000003,0.04298245614035087,-8.7,6
404,7.7,0.69,0.05,2.7,0.075,15.0,27.0,0.9974,3.26,0.61,9.1,8.39,0.3721,0.006493506493506494,-5.0,5
405,8.7,0.31,0.46,1.4,0.059,11.0,25.0,0.9966,3.36,0.76,10.1,9.01,0.5776,0.05287356321839081,-7.299999999999999,6
406,9.8,0.44,0.47,2.5,0.063,9.0,28.0,0.9981,3.24,0.65,10.8,10.24,0.42250000000000004,0.04795918367346938,-7.300000000000001,6
407,12.0,0.39,0.66,3.0,0.093,12.0,30.0,0.9996,3.18,0.63,10.8,12.39,0.39690000000000003,0.055,-9.0,7
408,10.4,0.34,0.58,3.7,0.174,6.0,16.0,0.997,3.19,0.7,11.3,10.74,0.48999999999999994,0.055769230769230765,-6.7,6
409,12.5,0.46,0.49,4.5,0.07,26.0,49.0,0.9981,3.05,0.57,9.6,12.96,0.32489999999999997,0.0392,-8.0,4
410,9.0,0.43,0.34,2.5,0.08,26.0,86.0,0.9987,3.38,0.62,9.5,9.43,0.3844,0.03777777777777778,-6.5,6
411,9.1,0.45,0.35,2.4,0.08,23.0,78.0,0.9987,3.38,0.62,9.5,9.549999999999999,0.3844,0.038461538461538464,-6.699999999999999,5
412,7.1,0.735,0.16,1.9,0.1,15.0,77.0,0.9966,3.27,0.64,9.3,7.835,0.4096,0.022535211267605635,-5.199999999999999,5
413,9.9,0.4,0.53,6.7,0.0969999999999999,6.0,19.0,0.9986,3.27,0.82,11.7,10.3,0.6723999999999999,0.05353535353535353,-3.2,7
